"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV10,RV6,RV9,RV8,RV7,RV11";"Potentiometer_Alps_RK09K_Single_Vertical";6;"R_Potentiometer";;;
2;"R29,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"390";;;
3;"J10,J2,J8,J9,J3,J5,J7,J4,J6";"CON_RS_913-1052";9;"CON_RS_913-1052";;;
4;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330k";;;
5;"R31,R6,R42,R44,R41,R34,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"100k";;;
6;"R45";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"340";;;
7;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5k6";;;
8;"R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2M2";;;
9;"R23,R16,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"2k";;;
10;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"39k";;;
11;"C11,C5,C6,C8,C9,C12,C7,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";8;"0.01uF";;;
12;"R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k8";;;
13;"R35,R25,R5,R27";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1M";;;
14;"R1,R38,R11,R39,R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"10k";;;
15;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100pF";;;
16;"R14,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"20k";;;
17;"R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120k";;;
18;"R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2k2";;;
19;"R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"150k";;;
20;"R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k5";;;
21;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1000pF";;;
22;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470pF";;;
23;"R40,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
24;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2200pF";;;
25;"C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
26;"R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1M5";;;
27;"R32,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4k7";;;
28;"D3";"LED_1206_3216Metric";1;"IR26-21C_L110_TR8";;;
29;"R36";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"137k";;;
30;"R43";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3M3";;;
31;"U2,U3";"DIP-14_W7.62mm_Socket_LongPads";2;"TL074";;;
32;"RV1,RV4,RV5";"Potentiometer_Vishay_T73XW_Horizontal";3;"100k";;;
33;"D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1N4148";;;
34;"R30,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22k";;;
35;"U4";"DIP-8_W7.62mm";1;"LM555xN";;;
36;"RV2";"Potentiometer_Vishay_T73XW_Horizontal";1;"25k";;;
37;"C16";"CP_Radial_D5.0mm_P2.00mm";1;"0.22uF";;;
38;"R28";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"2k";;;
39;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
40;"Q2,Q1";"TO-92_Inline";2;"2N3906";;;
41;"RV3";"Potentiometer_Vishay_T73XW_Horizontal";1;"100";;;
42;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"300k";;;
43;"U1";"SOIC-16_3.9x9.9mm_P1.27mm";1;"LM13700";;;
44;"C3,C4";"CP_Radial_D5.0mm_P2.00mm";2;"10uF/50V";;;
45;"Q3";"TO-92_Inline";1;"2N3904";;;
